date,heure,élu
2004-01-14,,Alain Guilbaud
2004-01-14,,Bernard Pennetier
2004-01-14,,Georges Lecleve
2004-01-14,,Gérard Bigot
2004-01-14,,Gérard Guilbaud
2004-01-14,,Jacques Chevalier
2004-01-14,,Jacques Jaunatre
2004-01-14,,Jean-Marie Gatard
2004-01-14,,Jean-Paul Leray
2004-01-14,,Jean Rondeau
2004-01-14,,Karine Mosnier
2004-01-14,,Louis-Marie Droneau
2004-01-14,,Marie-Jo Batard
2004-01-14,,Michel Gravouil
2004-01-14,,Mithé Gouy
2004-01-14,,Pierre Voyau
2004-02-17,,Alain Guilbaud
2004-02-17,,Bernard Pennetier
2004-02-17,,Georges Lecleve
2004-02-17,,Gérard Bigot
2004-02-17,,Jacques Chevalier
2004-02-17,,Jacques Jaunatre
2004-02-17,,Jean-Marie Gatard
2004-02-17,,Jean-Paul Leray
2004-02-17,,Jean Rondeau
2004-02-17,,Karine Mosnier
2004-02-17,,Louis-Marie Droneau
2004-02-17,,Marie-Jo Batard
2004-02-17,,Myriam Chauvin
2004-02-17,,Pierre Voyau
2004-02-17,,Sonia Bailly
2004-03-24,,Alain Guilbaud
2004-03-24,,Bernard Pennetier
2004-03-24,,Georges Lecleve
2004-03-24,,Gérard Bigot
2004-03-24,,Gérard Guilbaud
2004-03-24,,Jacques Chevalier
2004-03-24,,Jacques Jaunatre
2004-03-24,,Jean-Marie Gatard
2004-03-24,,Jean-Paul Leray
2004-03-24,,Jean Rondeau
2004-03-24,,Karine Mosnier
2004-03-24,,Louis-Marie Droneau
2004-03-24,,Marie-Jo Batard
2004-03-24,,Pierre Voyau
2004-03-24,,Sonia Bailly
2004-04-28,,Alain Guilbaud
2004-04-28,,Bernard Pennetier
2004-04-28,,Georges Lecleve
2004-04-28,,Gérard Bigot
2004-04-28,,Gérard Guilbaud
2004-04-28,,Jacques Chevalier
2004-04-28,,Jacques Jaunatre
2004-04-28,,Jean-Marie Gatard
2004-04-28,,Jean-Paul Leray
2004-04-28,,Louis-Marie Droneau
2004-04-28,,Marie-Jo Batard
2004-04-28,,Michel Gravouil
2004-04-28,,Mithé Gouy
2004-04-28,,Pierre Voyau
2004-04-28,,Régine Cormier
2004-04-28,,Sonia Bailly
2004-05-26,,Alain Guilbaud
2004-05-26,,Bernard Pennetier
2004-05-26,,Georges Lecleve
2004-05-26,,Gérard Bigot
2004-05-26,,Gérard Guilbaud
2004-05-26,,Jacques Chevalier
2004-05-26,,Jacques Jaunatre
2004-05-26,,Jean-Marie Gatard
2004-05-26,,Jean-Paul Leray
2004-05-26,,Jean Rondeau
2004-05-26,,Karine Mosnier
2004-05-26,,Louis-Marie Droneau
2004-05-26,,Marie-Jo Batard
2004-05-26,,Michel Gravouil
2004-05-26,,Mithé Gouy
2004-05-26,,Pierre Voyau
2004-06-29,,Alain Guilbaud
2004-06-29,,Bernard Pennetier
2004-06-29,,Georges Lecleve
2004-06-29,,Gérard Bigot
2004-06-29,,Gérard Guilbaud
2004-06-29,,Jacques Chevalier
2004-06-29,,Jacques Jaunatre
2004-06-29,,Jean-Marie Gatard
2004-06-29,,Jean-Paul Leray
2004-06-29,,Jean Rondeau
2004-06-29,,Louis-Marie Droneau
2004-06-29,,Marie-Jo Batard
2004-06-29,,Michel Gravouil
2004-06-29,,Mithé Gouy
2004-06-29,,Pierre Voyau
2004-06-29,,Sonia Bailly
2004-07-20,,Bernard Pennetier
2004-07-20,,Georges Lecleve
