Année	Association	catégie	Montant
2009	AEP La Saint Jean	Enfance	55192.5
2009	Fournitures scolaires école publique	Enfance	8022
2009	Manuels ou jeux pédagogiques	Enfance	3484.32
2009	Coop scolaire sorties scolaires	Enfance	2555.58
2009	Coop scolaire école publique	Enfance	1372
2009	APE (Parents d'élèves école publique)	Enfance	1100
2009	ADMR	Service à la personne	1000
2009	ACC - Section bibliothèque (Au plaisir de lire)	Culture	200
2009	ACC - Section animation (fête du Parc de loisirs)	Loisir	5800
2009	ACC - section théâtre (Compagnons de la Blanche)	Culture	1659
2009	AFR – Cantine	Enfance	22000
2009	AFR – Accueil périscolaire	Enfance	13800
2009	AFR - ALSH	Handicap	7200
2009	AFR – Halte garderie	Enfance	17021.38
2009	Triolet de Retz	Culture	6062.1
2009	Arche Football Club	Sport	2000
2009	Arche Football Club	Sport	1752
2009	USC	Sport	1000
2009	Amicale des donneurs de sang	Santé	170
2009	DOMUS	Service à la personne	301.18
2009	Société de chasse	Loisir	267
2009	ESAC	Sport	840
2009	ADT (Aide à domicile temporaire)	Service à la personne	237
2009	Mutuelle Nationale Territoriale	Élus	880
2009	CCAS	Social	3500
2009	Musique et Danse en Loire-Atlantique	Culture	2094.24
2009	ADIL	Logement	372.01
2009	ADICLA	Élus	257.4
2009	CAUE de Loire-Atlantique	Urbanisme	96
2009	Association « Les Chiens Guides d’Aveugles »	Handicap	86
2009	Vie Libre  (Lutte contre l’alcoolisme)	Santé	35
2009	La Rose des Vents (Soins. prévention toxicomanie/sida) 	Santé	35
2009	ADVC 44 (asso départementale de conjoints survivants)	Social	35
2009	INSERETZ	Social	1540
2009	Institut Paul Cézanne (Fougères)	Culture	127.3
2009	IME Cenro (Vertou)	Handicap	63.65
2009	Association pour le développement du Bassin Versant de la Baie de Bourgneuf (SAGE)	Écologie	30.72
2009	Association pour le développement du Bassin Versant de la Baie de Bourgneuf (SAGE)	Écologie	158.06
2009	Association Fédérative Départementale des Maires de L.A.	Élus	447.48
2009	Association Maires du Pays de Retz	Élus	39
2009	Institut culturel	Culture	331.5
2009	Collectif Spectacles en Retz	Culture	60
2009	Convention « Ateliers théâtre jeunes »	Culture	702
2009	Paz à Pas	Enfance	5824
2009	Subventions séjours linguistiques	Enfance	1000
2010	AEP La Saint Jean	Enfance	64092
2010	Fournitures scolaires école publique	Enfance	8568
2010	Manuels ou jeux pédagogiques	Enfance	3484.32
2010	Coop scolaire sorties scolaires	Enfance	2729.52
